asin,title,imgUrl,productURL,stars,reviews,price,listPrice,sub_category_id,isBestSeller,boughtInLastMonth
B08GM954K3,"Wenrook 300 Pack Safety Pins Assorted, 4 Different Sizes, Strong Nickel Plated Steel, Heavy Duty Safety Pins for Clothes, Crafts, Pinning and More",https://m.media-amazon.com/images/I/81-fby72vcL._AC_UL320_.jpg,https://www.amazon.com/dp/B08GM954K3,4.5,0,4.99,6.99,6,False,8000
B0716K2W1K,"ZEFFFKA Premium Quality Denim Iron-on Jean Patches Inside & Outside Strongest Glue 100% Cotton Assorted Shades of Blue Repair Decorating Kit 12 Pieces Size 3"" by 4-1/4"" (7.5 cm x 10.5 cm)",https://m.media-amazon.com/images/I/A1rdWM4dsmL._AC_UL320_.jpg,https://www.amazon.com/dp/B0716K2W1K,4.3,0,8.99,9.99,6,False,5000
B0B714DRFT,"Sewing Kit Gifts for Grandma, Mom, Friend, Traveler, Adults, Beginner, Emergency,Sewing Supplies Accessories with Scissors,Sewing Needles Thimble, Thread,Tape Measure etc (Black, S)",https://m.media-amazon.com/images/I/81z1RwGr79L._AC_UL320_.jpg,https://www.amazon.com/dp/B0B714DRFT,4.6,0,5.99,0.0,6,False,7000
B098HXCJNQ,"Safety Pins Assorted, 340-Pack 5 Different Sizes Large Safety Pins Heavy Duty Safety Pin, Safety Pins for Clothes Pins, Small Safety Pins for Sewing, Halloween Costume, Arts and Crafts Supplies",https://m.media-amazon.com/images/I/81r1UA0tTIL._AC_UL320_.jpg,https://www.amazon.com/dp/B098HXCJNQ,4.5,0,4.95,7.42,6,False,6000
B07XNYCYJN,GDMINLO Soft Tape Measuring for Body Fabric Sewing Tailor Cloth Knitting Craft Weight Loss Measurements Retractable Black Dual Sided Tape Measure 1 Pack,https://m.media-amazon.com/images/I/51bU6XcvhFL._AC_UL320_.jpg,https://www.amazon.com/dp/B07XNYCYJN,4.4,0,3.99,0.0,6,False,6000
B0C7VQZZSV,"10PCS Self Adhesive Felt, DIY Self Adhesive Fabric for Art & Crafts, Peel and Stick Felt for Drawer/Jewelry Box Felt Liner, A4 Size (8.3"" x 11.8"", Pink)",https://m.media-amazon.com/images/I/71Fh+MwsYWL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C7VQZZSV,4.6,0,8.99,9.99,7,True,0
B0B7WQ349S,"-25 Options- 100% Cotton Quilting Fabric Bundles 10pcs Fat Quarters 18”x21”-Medium Weight 5.2 oz- for Quilting, Sewing Project, Patchwork, DIY Crafts – Starry Sky",https://m.media-amazon.com/images/I/A1ptzAe0LKL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B7WQ349S,4.7,0,21.99,0.0,7,True,100
B01N1U85M1,"flic-flac 48PCS 8 x 12 inches (20 x 30cm) Assorted Color Felt Fabric Sheets Patchwork Sewing DIY Craft 1mm Thick … (20cm * 30cm, 48pcs)",https://m.media-amazon.com/images/I/61BcbZ-6X6L._AC_UL320_.jpg,https://www.amazon.com/dp/B01N1U85M1,4.6,0,17.28,0.0,7,False,900
B009K4MTII,"AK TRADING CO. 40"" Wide x 5 Yards (15 Feet) - Multipurpose Natural Burlap Fabric - for Decorations, Crafts, Home, Weddings, Table Linens, Landscaping, Plants & Tree Covering and More.",https://m.media-amazon.com/images/I/91awTze1uIL._AC_UL320_.jpg,https://www.amazon.com/dp/B009K4MTII,4.7,0,20.79,0.0,7,False,600
B01N8Q159X,"Dritz Craft & Household Use, 36"" x 6-Yards, Unbleached Cheesecloth, Beige",https://m.media-amazon.com/images/I/81bzdlUsHDL._AC_UL320_.jpg,https://www.amazon.com/dp/B01N8Q159X,4.6,0,7.05,0.0,7,False,200
